Cr I	305.38779	305.387423	200q	
Cr I	314.84483	314.84487	20	
Cr I	315.51534	315.515386	22	
Cr I	316.37590	316.375954	25	
Cr I	335.19632	335.196317	24	
Cr I	357.87038	357.868618	1380q	
Cr I	359.35021	359.348538	1450q	
Cr I	360.53446	360.532884	1240q	
Cr I	374.38815	374.388144	400	
Cr I	374.44911	374.44912	50	
Cr I	375.71695	375.716951	37	
Cr I	375.76611	375.766107	200	
Cr I	375.80462	375.804616	65	
Cr I	376.82383	376.823828	180	
Cr I	376.87327	376.873275	46	
Cr I	399.11135	399.11134	420	
Cr I	403.90906	403.90899	110	
Cr I	404.87797	404.87794	93	
Cr I	405.87693	405.87689	81	
Cr I	412.65121	412.65120	390	
Cr I	425.43517	425.433602	2480q	
Cr I	427.48117	427.479710	2500q	
Cr I	428.97307	428.97173	2380q	
Cr I	433.75570	433.755701	1900	
Cr I	433.94463	433.944609	2600	
Cr I	433.97105	433.971051	1120	
Cr I	435.10495	435.104951	1080	
Cr I	437.32549	437.325478	170	
Cr I	439.17509	439.175079	160	
Cr I	441.22510	441.225109	71	
Cr I	449.23052	449.23052	89	
Cr I	449.68518	449.685195	1300	
Cr I	451.18909	451.189055	210	
Cr I	452.64537	452.64538	960	
Cr I	452.7335	452.73451	40	
Cr I	453.06824	453.068239	190	
Cr I	453.07379	453.073802	770	
Cr I	453.51357	453.513583	170	
Cr I	453.56966	453.569676	600	
Cr I	453.97810	453.97810	110	
Cr I	454.04984	454.04987	500	
Cr I	454.07044	454.070408	460	
Cr I	454.10606	454.10609	120	
Cr I	454.46119	454.46119	440	
Cr I	454.53310	454.53311	90	
Cr I	454.59527	454.595302	930	
Cr I	456.55041	456.550391	250	
Cr I	458.00477	458.004789	560	
Cr I	459.13908	459.139098	490	
Cr I	460.07485	460.074835	1190	
Cr I	461.33573	461.335727	590	
Cr I	461.61240	461.612404	1360	
Cr I	462.61734	462.617342	1100	
Cr I	464.61620	464.616212	2400	
Cr I	465.1291	465.128365	75	
Cr I	465.21573	465.215743	1750	
Cr I	465.61834	465.618342	49	
Cr I	466.93166	466.93168	52	
Cr I	470.06101	470.06113	86	
Cr I	470.80125	470.80126	190	
Cr I	472.44123	472.44122	95	
Cr I	473.07101	473.07101	290	
Cr I	473.73471	473.73471	360	
Cr I	478.9340	478.93340	75	
Cr I	480.1028	480.10245	75	
Cr I	483.68515	483.68523	29	
Cr I	488.57694	488.577038	64	
Cr I	488.5952	488.59535	5	
Cr I	494.24952	494.249538	220	
Cr I	496.49271	496.49274	130	
Cr I	505.18970	505.18974	115	
Cr I	507.29259	507.292621	200	
Cr I	520.44981	520.45110	5900q	
Cr I	520.60229	520.603733	7100q	
Cr I	520.84094	520.842555	7800q	
Cr I	523.89608	523.896175	22	
Cr I	524.33539	524.33539	26	
Cr I	524.75646	524.756509	1250	
Cr I	526.41530	526.415341	2600	
Cr I	526.57143	526.571497	1050	
Cr I	527.19995	527.20003	33	
Cr I	528.71780	528.71780	12	
Cr I	529.66905	529.669109	2100	
Cr I	529.73762	529.737623	460	
Cr I	529.82715	529.827202	3540	
Cr I	530.07451	530.074563	530	
Cr I	530.41796	530.41800	19	
Cr I	531.28557	531.28560	27	
Cr I	531.87707	531.87708	21	
Cr I	532.91370	532.913725	290	
Cr I	532.97831	532.97833	51	
Cr I	534.04469	534.04469	19	
Cr I	534.57959	534.579650	5100	
Cr I	534.83141	534.831470	3200	
Cr I	540.97834	540.978408	8500	
Cr I	562.86425	562.86426	44	
Cr I	570.23063	570.23060	55	
Cr I	571.98157	571.98168	10	
Cr I	578.38498	578.385010	100	
Cr I	578.49694	578.496971	85	
Cr I	578.79184	578.791876	170	
Cr I	688.240	688.25069	75	
Cr I	688.305	688.30525	150	
Cr I	697.83976	697.83983	640	
Cr I	735.58905	735.58903	1400	
Cr I	740.01798	740.01798	1900	
Fe XXVI		202.7		
Fe II	223.827313	223.827336	7000	
Fe II	224.549895	224.549894	120000	
Fe II	224.768366	224.768370	100000	
Fe II	225.182273	225.182274	350000	
Fe II	225.563423	225.563449	5000	
Fe II	225.568707	225.568706	140000	
Fe I	225.95101	225.951006	2090	
Fe I	227.20694	227.206942	1950bl	
Fe II	227.991462	227.991467	19000	
Fe I	227.99370	227.993675	363	
Fe I	228.33040	228.330395	269	
Fe I	228.72495	228.724949	2450	
Fe II	228.866255	228.866265	5000	
Fe I	230.16837	230.168355	780	
Fe II	230.73129	230.73129	20000	
Fe II	231.735121	231.735119	14000	
Fe II	232.294098	232.294102	11000	
Fe II	232.52945	232.529317	6000	
